lowercase_basename,count,disk_relative_path,disk_basename,disk_source_folder,disk_batch_folder
frame_000420s.jpg,2,diyas/batch_001/frame_000420s.jpg,frame_000420s.jpg,diyas,batch_001
frame_000420s.jpg,2,obama/batch_001/frame_000420s.jpg,frame_000420s.jpg,obama,batch_001
frame_000421s.jpg,2,diyas/batch_001/frame_000421s.jpg,frame_000421s.jpg,diyas,batch_001
frame_000421s.jpg,2,obama/batch_001/frame_000421s.jpg,frame_000421s.jpg,obama,batch_001
frame_000422s.jpg,2,diyas/batch_001/frame_000422s.jpg,frame_000422s.jpg,diyas,batch_001
frame_000422s.jpg,2,obama/batch_001/frame_000422s.jpg,frame_000422s.jpg,obama,batch_001
frame_000423s.jpg,2,diyas/batch_001/frame_000423s.jpg,frame_000423s.jpg,diyas,batch_001
frame_000423s.jpg,2,obama/batch_001/frame_000423s.jpg,frame_000423s.jpg,obama,batch_001
frame_000424s.jpg,2,diyas/batch_001/frame_000424s.jpg,frame_000424s.jpg,diyas,batch_001
frame_000424s.jpg,2,obama/batch_001/frame_000424s.jpg,frame_000424s.jpg,obama,batch_001
frame_000425s.jpg,2,diyas/batch_001/frame_000425s.jpg,frame_000425s.jpg,diyas,batch_001
frame_000425s.jpg,2,obama/batch_001/frame_000425s.jpg,frame_000425s.jpg,obama,batch_001
frame_000426s.jpg,2,diyas/batch_001/frame_000426s.jpg,frame_000426s.jpg,diyas,batch_001
frame_000426s.jpg,2,obama/batch_001/frame_000426s.jpg,frame_000426s.jpg,obama,batch_001
frame_000427s.jpg,2,diyas/batch_001/frame_000427s.jpg,frame_000427s.jpg,diyas,batch_001
frame_000427s.jpg,2,obama/batch_001/frame_000427s.jpg,frame_000427s.jpg,obama,batch_001
frame_000428s.jpg,2,diyas/batch_001/frame_000428s.jpg,frame_000428s.jpg,diyas,batch_001
frame_000428s.jpg,2,obama/batch_001/frame_000428s.jpg,frame_000428s.jpg,obama,batch_001
frame_000429s.jpg,2,diyas/batch_001/frame_000429s.jpg,frame_000429s.jpg,diyas,batch_001
frame_000429s.jpg,2,obama/batch_001/frame_000429s.jpg,frame_000429s.jpg,obama,batch_001
