normalized_numeric_suffix,count,disk_relative_path,disk_basename,disk_source_folder,disk_batch_folder
1050,2,obama/batch_001/frame_001050s.jpg,frame_001050s.jpg,obama,batch_001
1051,2,diyas/batch_002/frame_001051s.jpg,frame_001051s.jpg,diyas,batch_002
1051,2,obama/batch_001/frame_001051s.jpg,frame_001051s.jpg,obama,batch_001
1052,2,diyas/batch_002/frame_001052s.jpg,frame_001052s.jpg,diyas,batch_002
1052,2,obama/batch_001/frame_001052s.jpg,frame_001052s.jpg,obama,batch_001
1053,2,diyas/batch_002/frame_001053s.jpg,frame_001053s.jpg,diyas,batch_002
1053,2,obama/batch_001/frame_001053s.jpg,frame_001053s.jpg,obama,batch_001
1054,2,diyas/batch_002/frame_001054s.jpg,frame_001054s.jpg,diyas,batch_002
1054,2,obama/batch_001/frame_001054s.jpg,frame_001054s.jpg,obama,batch_001
1055,2,diyas/batch_002/frame_001055s.jpg,frame_001055s.jpg,diyas,batch_002
1055,2,obama/batch_001/frame_001055s.jpg,frame_001055s.jpg,obama,batch_001
1056,2,diyas/batch_002/frame_001056s.jpg,frame_001056s.jpg,diyas,batch_002
1056,2,obama/batch_001/frame_001056s.jpg,frame_001056s.jpg,obama,batch_001
1057,2,diyas/batch_002/frame_001057s.jpg,frame_001057s.jpg,diyas,batch_002
1057,2,obama/batch_001/frame_001057s.jpg,frame_001057s.jpg,obama,batch_001
1058,2,diyas/batch_002/frame_001058s.jpg,frame_001058s.jpg,diyas,batch_002
1058,2,obama/batch_001/frame_001058s.jpg,frame_001058s.jpg,obama,batch_001
1059,2,diyas/batch_002/frame_001059s.jpg,frame_001059s.jpg,diyas,batch_002
1059,2,obama/batch_001/frame_001059s.jpg,frame_001059s.jpg,obama,batch_001
1060,2,diyas/batch_002/frame_001060s.jpg,frame_001060s.jpg,diyas,batch_002
1060,2,obama/batch_001/frame_001060s.jpg,frame_001060s.jpg,obama,batch_001
1061,2,diyas/batch_002/frame_001061s.jpg,frame_001061s.jpg,diyas,batch_002
1061,2,obama/batch_001/frame_001061s.jpg,frame_001061s.jpg,obama,batch_001
1062,2,diyas/batch_002/frame_001062s.jpg,frame_001062s.jpg,diyas,batch_002
1062,2,obama/batch_001/frame_001062s.jpg,frame_001062s.jpg,obama,batch_001
1063,2,diyas/batch_002/frame_001063s.jpg,frame_001063s.jpg,diyas,batch_002
1063,2,obama/batch_001/frame_001063s.jpg,frame_001063s.jpg,obama,batch_001
1064,2,diyas/batch_002/frame_001064s.jpg,frame_001064s.jpg,diyas,batch_002
1064,2,obama/batch_001/frame_001064s.jpg,frame_001064s.jpg,obama,batch_001
1065,2,diyas/batch_002/frame_001065s.jpg,frame_001065s.jpg,diyas,batch_002
1065,2,obama/batch_001/frame_001065s.jpg,frame_001065s.jpg,obama,batch_001
1066,2,diyas/batch_002/frame_001066s.jpg,frame_001066s.jpg,diyas,batch_002
1066,2,obama/batch_001/frame_001066s.jpg,frame_001066s.jpg,obama,batch_001
1067,2,diyas/batch_002/frame_001067s.jpg,frame_001067s.jpg,diyas,batch_002
1067,2,obama/batch_001/frame_001067s.jpg,frame_001067s.jpg,obama,batch_001
1068,2,diyas/batch_002/frame_001068s.jpg,frame_001068s.jpg,diyas,batch_002
1068,2,obama/batch_001/frame_001068s.jpg,frame_001068s.jpg,obama,batch_001
1069,2,diyas/batch_002/frame_001069s.jpg,frame_001069s.jpg,diyas,batch_002
1069,2,obama/batch_001/frame_001069s.jpg,frame_001069s.jpg,obama,batch_001
1070,2,diyas/batch_002/frame_001070s.jpg,frame_001070s.jpg,diyas,batch_002
1070,2,obama/batch_001/frame_001070s.jpg,frame_001070s.jpg,obama,batch_001
1071,2,diyas/batch_002/frame_001071s.jpg,frame_001071s.jpg,diyas,batch_002
1071,2,obama/batch_001/frame_001071s.jpg,frame_001071s.jpg,obama,batch_001
1072,2,diyas/batch_002/frame_001072s.jpg,frame_001072s.jpg,diyas,batch_002
1072,2,obama/batch_001/frame_001072s.jpg,frame_001072s.jpg,obama,batch_001
1073,2,diyas/batch_002/frame_001073s.jpg,frame_001073s.jpg,diyas,batch_002
1073,2,obama/batch_001/frame_001073s.jpg,frame_001073s.jpg,obama,batch_001
1074,2,diyas/batch_002/frame_001074s.jpg,frame_001074s.jpg,diyas,batch_002
1074,2,obama/batch_001/frame_001074s.jpg,frame_001074s.jpg,obama,batch_001
1075,2,diyas/batch_002/frame_001075s.jpg,frame_001075s.jpg,diyas,batch_002
1075,2,obama/batch_001/frame_001075s.jpg,frame_001075s.jpg,obama,batch_001
1076,2,diyas/batch_002/frame_001076s.jpg,frame_001076s.jpg,diyas,batch_002
1076,2,obama/batch_001/frame_001076s.jpg,frame_001076s.jpg,obama,batch_001
1077,2,diyas/batch_002/frame_001077s.jpg,frame_001077s.jpg,diyas,batch_002
1077,2,obama/batch_001/frame_001077s.jpg,frame_001077s.jpg,obama,batch_001
1078,2,diyas/batch_002/frame_001078s.jpg,frame_001078s.jpg,diyas,batch_002
1078,2,obama/batch_001/frame_001078s.jpg,frame_001078s.jpg,obama,batch_001
1079,2,diyas/batch_002/frame_001079s.jpg,frame_001079s.jpg,diyas,batch_002
1079,2,obama/batch_001/frame_001079s.jpg,frame_001079s.jpg,obama,batch_001
1080,2,diyas/batch_002/frame_001080s.jpg,frame_001080s.jpg,diyas,batch_002
1080,2,obama/batch_001/frame_001080s.jpg,frame_001080s.jpg,obama,batch_001
1081,2,diyas/batch_002/frame_001081s.jpg,frame_001081s.jpg,diyas,batch_002
1081,2,obama/batch_001/frame_001081s.jpg,frame_001081s.jpg,obama,batch_001
1082,2,diyas/batch_002/frame_001082s.jpg,frame_001082s.jpg,diyas,batch_002
1082,2,obama/batch_001/frame_001082s.jpg,frame_001082s.jpg,obama,batch_001
1083,2,diyas/batch_002/frame_001083s.jpg,frame_001083s.jpg,diyas,batch_002
1083,2,obama/batch_001/frame_001083s.jpg,frame_001083s.jpg,obama,batch_001
1084,2,diyas/batch_002/frame_001084s.jpg,frame_001084s.jpg,diyas,batch_002
1084,2,obama/batch_001/frame_001084s.jpg,frame_001084s.jpg,obama,batch_001
1085,2,diyas/batch_002/frame_001085s.jpg,frame_001085s.jpg,diyas,batch_002
1085,2,obama/batch_001/frame_001085s.jpg,frame_001085s.jpg,obama,batch_001
1088,2,diyas/batch_002/frame_001088s.jpg,frame_001088s.jpg,diyas,batch_002
1088,2,obama/batch_001/frame_001088s.jpg,frame_001088s.jpg,obama,batch_001
1089,2,diyas/batch_002/frame_001089s.jpg,frame_001089s.jpg,diyas,batch_002
1089,2,obama/batch_001/frame_001089s.jpg,frame_001089s.jpg,obama,batch_001
1090,2,diyas/batch_002/frame_001090s.jpg,frame_001090s.jpg,diyas,batch_002
1090,2,obama/batch_001/frame_001090s.jpg,frame_001090s.jpg,obama,batch_001
1091,2,diyas/batch_002/frame_001091s.jpg,frame_001091s.jpg,diyas,batch_002
1091,2,obama/batch_001/frame_001091s.jpg,frame_001091s.jpg,obama,batch_001
1092,2,diyas/batch_002/frame_001092s.jpg,frame_001092s.jpg,diyas,batch_002
1092,2,obama/batch_001/frame_001092s.jpg,frame_001092s.jpg,obama,batch_001
1094,2,diyas/batch_002/frame_001094s.jpg,frame_001094s.jpg,diyas,batch_002
1094,2,obama/batch_001/frame_001094s.jpg,frame_001094s.jpg,obama,batch_001
1095,2,diyas/batch_002/frame_001095s.jpg,frame_001095s.jpg,diyas,batch_002
1095,2,obama/batch_001/frame_001095s.jpg,frame_001095s.jpg,obama,batch_001
1096,2,diyas/batch_002/frame_001096s.jpg,frame_001096s.jpg,diyas,batch_002
1096,2,obama/batch_001/frame_001096s.jpg,frame_001096s.jpg,obama,batch_001
1097,2,diyas/batch_002/frame_001097s.jpg,frame_001097s.jpg,diyas,batch_002
1097,2,obama/batch_001/frame_001097s.jpg,frame_001097s.jpg,obama,batch_001
1098,2,diyas/batch_002/frame_001098s.jpg,frame_001098s.jpg,diyas,batch_002
1098,2,obama/batch_001/frame_001098s.jpg,frame_001098s.jpg,obama,batch_001
1099,2,diyas/batch_002/frame_001099s.jpg,frame_001099s.jpg,diyas,batch_002
1099,2,obama/batch_001/frame_001099s.jpg,frame_001099s.jpg,obama,batch_001
1100,2,diyas/batch_002/frame_001100s.jpg,frame_001100s.jpg,diyas,batch_002
1100,2,obama/batch_001/frame_001100s.jpg,frame_001100s.jpg,obama,batch_001
1101,2,diyas/batch_002/frame_001101s.jpg,frame_001101s.jpg,diyas,batch_002
1101,2,obama/batch_001/frame_001101s.jpg,frame_001101s.jpg,obama,batch_001
1102,2,diyas/batch_002/frame_001102s.jpg,frame_001102s.jpg,diyas,batch_002
1102,2,obama/batch_001/frame_001102s.jpg,frame_001102s.jpg,obama,batch_001
1103,2,diyas/batch_002/frame_001103s.jpg,frame_001103s.jpg,diyas,batch_002
1103,2,obama/batch_001/frame_001103s.jpg,frame_001103s.jpg,obama,batch_001
1104,2,diyas/batch_002/frame_001104s.jpg,frame_001104s.jpg,diyas,batch_002
1104,2,obama/batch_001/frame_001104s.jpg,frame_001104s.jpg,obama,batch_001
1105,2,diyas/batch_002/frame_001105s.jpg,frame_001105s.jpg,diyas,batch_002
1105,2,obama/batch_001/frame_001105s.jpg,frame_001105s.jpg,obama,batch_001
1106,2,diyas/batch_002/frame_001106s.jpg,frame_001106s.jpg,diyas,batch_002
1106,2,obama/batch_001/frame_001106s.jpg,frame_001106s.jpg,obama,batch_001
1107,2,diyas/batch_002/frame_001107s.jpg,frame_001107s.jpg,diyas,batch_002
1107,2,obama/batch_001/frame_001107s.jpg,frame_001107s.jpg,obama,batch_001
1108,2,diyas/batch_002/frame_001108s.jpg,frame_001108s.jpg,diyas,batch_002
1108,2,obama/batch_001/frame_001108s.jpg,frame_001108s.jpg,obama,batch_001
1109,2,diyas/batch_002/frame_001109s.jpg,frame_001109s.jpg,diyas,batch_002
1109,2,obama/batch_001/frame_001109s.jpg,frame_001109s.jpg,obama,batch_001
1110,2,diyas/batch_002/frame_001110s.jpg,frame_001110s.jpg,diyas,batch_002
1110,2,obama/batch_001/frame_001110s.jpg,frame_001110s.jpg,obama,batch_001
1112,2,diyas/batch_002/frame_001112s.jpg,frame_001112s.jpg,diyas,batch_002
1112,2,obama/batch_001/frame_001112s.jpg,frame_001112s.jpg,obama,batch_001
1113,2,diyas/batch_002/frame_001113s.jpg,frame_001113s.jpg,diyas,batch_002
