image_id,xml_name,xml_basename,rank,similarity,disk_relative_path,disk_basename,disk_source_folder,disk_batch_folder
28,D02_20260420073459_000998.jpg,D02_20260420073459_000998.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
28,D02_20260420073459_000998.jpg,D02_20260420073459_000998.jpg,3,0.478261,diyas/batch_003/frame_003458s.jpg,frame_003458s.jpg,diyas,batch_003
28,D02_20260420073459_000998.jpg,D02_20260420073459_000998.jpg,4,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
28,D02_20260420073459_000998.jpg,D02_20260420073459_000998.jpg,5,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
29,D02_20260420073459_000999.jpg,D02_20260420073459_000999.jpg,1,0.478261,diyas/batch_001/frame_000999s.jpg,frame_000999s.jpg,diyas,batch_001
29,D02_20260420073459_000999.jpg,D02_20260420073459_000999.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
29,D02_20260420073459_000999.jpg,D02_20260420073459_000999.jpg,3,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
29,D02_20260420073459_000999.jpg,D02_20260420073459_000999.jpg,4,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
29,D02_20260420073459_000999.jpg,D02_20260420073459_000999.jpg,5,0.478261,diyas/batch_004/frame_004599s.jpg,frame_004599s.jpg,diyas,batch_004
30,D02_20260420073459_001000.jpg,D02_20260420073459_001000.jpg,1,0.478261,diyas/batch_001/frame_000010s.jpg,frame_000010s.jpg,diyas,batch_001
30,D02_20260420073459_001000.jpg,D02_20260420073459_001000.jpg,2,0.478261,diyas/batch_001/frame_001000s.jpg,frame_001000s.jpg,diyas,batch_001
30,D02_20260420073459_001000.jpg,D02_20260420073459_001000.jpg,3,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
30,D02_20260420073459_001000.jpg,D02_20260420073459_001000.jpg,4,0.478261,diyas/batch_003/frame_003451s.jpg,frame_003451s.jpg,diyas,batch_003
30,D02_20260420073459_001000.jpg,D02_20260420073459_001000.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
31,D02_20260420073459_001001.jpg,D02_20260420073459_001001.jpg,1,0.478261,diyas/batch_001/frame_000010s.jpg,frame_000010s.jpg,diyas,batch_001
31,D02_20260420073459_001001.jpg,D02_20260420073459_001001.jpg,2,0.478261,diyas/batch_002/frame_001001s.jpg,frame_001001s.jpg,diyas,batch_002
31,D02_20260420073459_001001.jpg,D02_20260420073459_001001.jpg,3,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
31,D02_20260420073459_001001.jpg,D02_20260420073459_001001.jpg,4,0.478261,diyas/batch_003/frame_003451s.jpg,frame_003451s.jpg,diyas,batch_003
31,D02_20260420073459_001001.jpg,D02_20260420073459_001001.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
32,D02_20260420073459_001002.jpg,D02_20260420073459_001002.jpg,1,0.478261,diyas/batch_001/frame_000010s.jpg,frame_000010s.jpg,diyas,batch_001
32,D02_20260420073459_001002.jpg,D02_20260420073459_001002.jpg,2,0.478261,diyas/batch_002/frame_001002s.jpg,frame_001002s.jpg,diyas,batch_002
32,D02_20260420073459_001002.jpg,D02_20260420073459_001002.jpg,3,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
32,D02_20260420073459_001002.jpg,D02_20260420073459_001002.jpg,4,0.478261,diyas/batch_003/frame_003451s.jpg,frame_003451s.jpg,diyas,batch_003
32,D02_20260420073459_001002.jpg,D02_20260420073459_001002.jpg,5,0.478261,diyas/batch_003/frame_003452s.jpg,frame_003452s.jpg,diyas,batch_003
33,D02_20260420073459_001003.jpg,D02_20260420073459_001003.jpg,1,0.478261,diyas/batch_001/frame_000010s.jpg,frame_000010s.jpg,diyas,batch_001
33,D02_20260420073459_001003.jpg,D02_20260420073459_001003.jpg,2,0.478261,diyas/batch_002/frame_001003s.jpg,frame_001003s.jpg,diyas,batch_002
33,D02_20260420073459_001003.jpg,D02_20260420073459_001003.jpg,3,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
33,D02_20260420073459_001003.jpg,D02_20260420073459_001003.jpg,4,0.478261,diyas/batch_003/frame_003451s.jpg,frame_003451s.jpg,diyas,batch_003
33,D02_20260420073459_001003.jpg,D02_20260420073459_001003.jpg,5,0.478261,diyas/batch_003/frame_003453s.jpg,frame_003453s.jpg,diyas,batch_003
